_id,name,access,property_type,room_type,number_of_reviews,accommodates,bedrooms,host_id,host_name,neighbourhood,coordinates,price,start_date,end_date,amenities,rating,city,country,latitude,longitude
8559496,"0 min to train, two stops to central (shared)","My house is your house - it's not a hotel, it's a home. I look forward to welcoming you. You can access everything in house other than my private room and personal belongings. After a confirmed booking, an arrangement will be made to give guests the swipe card and key.  I will also share house manual with u by iCloud if u r using iPhone or iPad, the house manual includes WiFi password and how to use the keys. Please send me ur email (normally the same email u use for iTunes). Or I can share it via (SENSITIVE CONTENTS HIDDEN) drive if u prefer.",Apartment,Shared room,15,1,1.0,26395164,Tiger,Mascot,"151.1875, -33.92427",55.0,2015-10-12 04:00:00,2019-02-07 05:00:00,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Hot tub', 'Buzzer/wireless intercom', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Iron', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Other']",97.0,New South Wales,Australia,151.1875, -33.92427
8634239,Perfect family getaway,- Car By Maisonneuve street - Metro  Beaudry station,Townhouse,Entire home/apt,120,2,1.0,45400539,Richard,Downtown Montreal,"-73.55837, 45.52153",101.0,2016-05-28 04:00:00,2019-02-17 05:00:00,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'Private entrance', 'Stair gates', 'Children’s books and toys', 'Crib', 'Children’s dinnerware', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Long term stays allowed', 'Other']",98.0,Québec,Canada,-73.55837, 45.52153
867745,3BD SPACIOUS COTTAGE KAANAPALI 42,We offer concierge service for all your activities and will deliver tickets to your property for your convenience.,House,Entire home/apt,80,6,3.0,1118742,Carol,Lahaina,"-156.68897, 20.93447",399.0,2013-04-09 04:00:00,2019-02-16 05:00:00,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Indoor fireplace', 'Family/kid friendly', 'Washer', 'Dryer']",93.0,Hawaii,United States,-156.68897, 20.93447
8698671,Perfect 8th Avenue Apt in Chelsea,"Bathroom Kitchen and all appliances and cooking supplies  Bed, Speedy *Wifi* Washer & Dryer (directly across the street)",Apartment,Private room,31,2,1.0,45667135,Jen,Chelsea,"-74.00184, 40.7411",112.0,2015-10-14 04:00:00,2016-06-18 04:00:00,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Essentials', 'Shampoo']",93.0,New York,United States,-74.00184, 40.7411
8778827,LITERA 2 PERSONAS,"A las zonas a compartir están totalmente equipadas para que la estancia sea cómoda. La cocina tiene todos los útiles necesarios para hacer desayunos, comidas, etc., cuando lo necesiten.",Apartment,Private room,52,2,1.0,38486997,Leonor,Guinardó,"2.17833, 41.41507",45.0,2015-12-01 05:00:00,2019-02-24 05:00:00,"['Internet', 'Wifi', 'Kitchen', 'Breakfast', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Essentials', 'Shampoo', 'Lock on bedroom door', '24-hour check-in', 'Hangers', 'Hair dryer', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Pocket wifi', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Step-free access', 'Step-free access', 'Step-free access', 'Accessible-height toilet', 'Step-free access', 'Host greets you', 'Handheld shower head', 'Paid parking on premises', 'Fixed grab bars for shower', 'Roll-in shower']",90.0,Catalunya,España,2.17833, 41.41507
8861779,*-35% Discount* Prestige Luxury Suite Downtown,All guests will be required to set preliminary contact to set an appointment for the check-in at the rendez-vous point. A tour of the premises and all the required information will be delivered to the guest. The guests are not allowed around the premises before the appointment has been set therefore it is of extreme importance that guests maintain contact with the host only and no one else from the building.,Serviced apartment,Entire home/apt,39,4,1.0,22301546,Lux For Less,Ville-Marie,"-73.57983, 45.50001",169.0,2015-10-26 04:00:00,2018-12-08 05:00:00,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Pool', 'Kitchen', 'Free parking on premises', 'Doorman', 'Gym', 'Elevator', 'Free street parking', 'Hot tub', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Private entrance', 'Bathtub', 'Babysitter recommendations', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Single level home']",84.0,Québec,Canada,-73.57983, 45.50001
888107,Charming & Comfy in Annandale - 2,"Other facilities: - Street Parking (free 24x7) - WiFi available Please be mindful that this isn't a hotel or serviced apartment. It's a sharing house where you get your own rooms.  Furnitures and other items not listed in the profile are private property (e.g. Piano, books & albums etc), please ask if you wish to use them.",House,Private room,71,2,1.0,3764639,Wyatt,Annandale/Leichhardt,"151.16834, -33.8809",65.0,2013-03-16 04:00:00,2018-04-05 04:00:00,"['Wifi', 'Family/kid friendly', 'Smoke detector', 'Essentials', 'Laptop friendly workspace', 'Hot water', 'Bed linens']",91.0,New South Wales,Australia,151.16834, -33.8809
8905515,Quarto Copacabana perto da praia!,"É possível cozinhar, temos um filtro de água.  Acesso a todas as dependências do apartamento.",Apartment,Private room,12,1,1.0,38285826,Renata,Copacabana,"-43.17888410382214, -22.966203750575392",48.0,2015-11-27 05:00:00,2019-01-28 05:00:00,"['TV', 'Wifi', 'Kitchen', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Washer', 'Iron', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Microwave', 'Dishes and silverware', 'Cooking basics', 'Stove', 'Luggage dropoff allowed', 'Beachfront']",97.0,Região Sudeste,Brasil,-43.17888410382214, -22.966203750575392
8463872,Cozy Flat in Uskudar,They can use all of them.,Apartment,Entire home/apt,43,3,2.0,3876588,Ali,Kadıköy,"29.01386, 41.01205",127.0,2016-01-30 05:00:00,2019-01-16 05:00:00,"['TV', 'Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'High chair', 'Hot water', 'Bed linens', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Patio or balcony', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you']",98.0,Marmara Bölgesi,Türkiye,29.01386, 41.01205
8473997,The Delightful Bamboo Suite 308 Close to Beach,Our Guest Host will meet you at the property for your check-in and give you keys,Condominium,Entire home/apt,81,4,0.0,43793840,Mark,Waikiki,"-157.82454, 21.27631",138.0,2015-09-26 04:00:00,2019-01-15 05:00:00,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Paid parking off premises', 'Elevator', 'Free street parking', 'Hot tub', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private entrance', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Patio or balcony', 'Garden or backyard', 'Long term stays allowed', 'Host greets you']",89.0,Hawaii,United States,-157.82454, 21.27631
